2022-11-28 14:41:17,366 - DEBUG - time: 6.3, id: 1, waypoints: [(-323.6355275284066, -192.23036521939815), (-5.92, -5.34), (2.37, -1.6), (100.0, -1.6)]
2022-11-28 14:41:17,400 - DEBUG - time: 6.3, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,417 - DEBUG - time: 6.4, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,433 - DEBUG - time: 6.4, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,436 - DEBUG - time: 6.4, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,440 - DEBUG - time: 6.4, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,458 - DEBUG - time: 6.5, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,462 - DEBUG - time: 6.5, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,477 - DEBUG - time: 6.5, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,482 - DEBUG - time: 6.5, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,499 - DEBUG - time: 6.6, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,514 - DEBUG - time: 6.6, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,517 - DEBUG - time: 6.6, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,521 - DEBUG - time: 6.6, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,539 - DEBUG - time: 6.7, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,543 - DEBUG - time: 6.7, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,558 - DEBUG - time: 6.7, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,562 - DEBUG - time: 6.7, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,579 - DEBUG - time: 6.8, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,594 - DEBUG - time: 6.8, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,598 - DEBUG - time: 6.8, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,601 - DEBUG - time: 6.8, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,618 - DEBUG - time: 6.9, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,622 - DEBUG - time: 6.9, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,637 - DEBUG - time: 6.9, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,640 - DEBUG - time: 6.9, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,658 - DEBUG - time: 7.0, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,672 - DEBUG - time: 7.0, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,675 - DEBUG - time: 7.0, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,679 - DEBUG - time: 7.0, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,694 - DEBUG - time: 7.1, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,698 - DEBUG - time: 7.1, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,712 - DEBUG - time: 7.1, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,715 - DEBUG - time: 7.1, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,732 - DEBUG - time: 7.2, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,745 - DEBUG - time: 7.2, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,750 - DEBUG - time: 7.2, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,753 - DEBUG - time: 7.2, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,769 - DEBUG - time: 7.3, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,773 - DEBUG - time: 7.3, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,786 - DEBUG - time: 7.3, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,790 - DEBUG - time: 7.3, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,805 - DEBUG - time: 7.4, id: 3, could change: False, False, state: ([], []), ([], []), False, False
